,Architecture name
0,"oO_Net ([0.01, 0.99])"
1,"oO_Net ([0.1, 0.9])"
2,"oO_Net ([0.3, 0.7])"
3,"oO_Net ([0.5, 0.5])"
4,"oO_Net ([0.7, 0.3])"
5,"oO_Net ([0.9, 0.1])"
6,"oO_Net ([0.99, 0.01])"
