architecture,time,run_id
0.0,10.072885513305664,0.0
0.0,10.280712127685547,1.0
0.0,10.3009672164917,2.0
0.0,10.358482360839844,3.0
0.0,11.03795337677002,4.0
0.0,12.184649467468262,5.0
0.0,12.007994651794434,6.0
0.0,10.868487358093262,7.0
0.0,10.970786094665527,8.0
0.0,10.83199405670166,9.0
1.0,11.727778434753418,0.0
1.0,10.935222625732422,1.0
1.0,11.7235107421875,2.0
1.0,11.506117820739746,3.0
1.0,11.323933601379395,4.0
1.0,11.561245918273926,5.0
1.0,11.938318252563477,6.0
1.0,11.164915084838867,7.0
1.0,11.045400619506836,8.0
1.0,11.095341682434082,9.0
2.0,11.632328033447266,0.0
2.0,10.94921875,1.0
2.0,11.350744247436523,2.0
2.0,10.880012512207031,3.0
2.0,12.054389953613281,4.0
2.0,11.102625846862793,5.0
2.0,12.312273979187012,6.0
2.0,11.743751525878906,7.0
2.0,11.363533973693848,8.0
2.0,11.849332809448242,9.0
3.0,11.805822372436523,0.0
3.0,11.520694732666016,1.0
3.0,10.961530685424805,2.0
3.0,11.023273468017578,3.0
3.0,10.97206974029541,4.0
3.0,10.946102142333984,5.0
3.0,11.013365745544434,6.0
3.0,10.936369895935059,7.0
3.0,11.253788948059082,8.0
3.0,11.172405242919922,9.0
4.0,10.945151329040527,0.0
4.0,10.915606498718262,1.0
4.0,11.021728515625,2.0
4.0,11.286295890808105,3.0
4.0,11.01647663116455,4.0
4.0,10.88039779663086,5.0
4.0,11.011960983276367,6.0
4.0,11.436521530151367,7.0
4.0,11.146796226501465,8.0
4.0,11.040913581848145,9.0
