run_id,architecture,accuracy,type,epochs
0.0,0.0,54.400001525878906,0.0,0.0
0.0,0.0,55.25,1.0,0.0
0.0,0.0,87.69999694824219,0.0,5.0
0.0,0.0,89.5,1.0,5.0
0.0,0.0,95.0,0.0,10.0
0.0,0.0,94.75,1.0,10.0
0.0,0.0,98.0,0.0,15.0
0.0,0.0,97.0,1.0,15.0
0.0,0.0,98.9000015258789,0.0,20.0
0.0,0.0,97.0,1.0,20.0
0.0,0.0,99.30000305175781,0.0,25.0
0.0,0.0,97.0,1.0,25.0
1.0,0.0,46.0,0.0,0.0
1.0,0.0,43.75,1.0,0.0
1.0,0.0,91.5,0.0,5.0
1.0,0.0,90.25,1.0,5.0
1.0,0.0,96.19999694824219,0.0,10.0
1.0,0.0,93.75,1.0,10.0
1.0,0.0,97.9000015258789,0.0,15.0
1.0,0.0,96.25,1.0,15.0
1.0,0.0,98.5,0.0,20.0
1.0,0.0,96.0,1.0,20.0
1.0,0.0,99.5,0.0,25.0
1.0,0.0,97.25,1.0,25.0
2.0,0.0,45.599998474121094,0.0,0.0
2.0,0.0,40.5,1.0,0.0
2.0,0.0,91.0,0.0,5.0
2.0,0.0,89.0,1.0,5.0
2.0,0.0,97.80000305175781,0.0,10.0
2.0,0.0,95.75,1.0,10.0
2.0,0.0,99.0,0.0,15.0
2.0,0.0,96.25,1.0,15.0
2.0,0.0,99.30000305175781,0.0,20.0
2.0,0.0,97.25,1.0,20.0
2.0,0.0,99.19999694824219,0.0,25.0
2.0,0.0,97.25,1.0,25.0
3.0,0.0,52.70000076293945,0.0,0.0
3.0,0.0,56.5,1.0,0.0
3.0,0.0,93.5,0.0,5.0
3.0,0.0,92.5,1.0,5.0
3.0,0.0,97.80000305175781,0.0,10.0
3.0,0.0,94.75,1.0,10.0
3.0,0.0,98.0,0.0,15.0
3.0,0.0,96.25,1.0,15.0
3.0,0.0,99.0,0.0,20.0
3.0,0.0,96.5,1.0,20.0
3.0,0.0,99.19999694824219,0.0,25.0
3.0,0.0,96.75,1.0,25.0
4.0,0.0,49.599998474121094,0.0,0.0
4.0,0.0,52.5,1.0,0.0
4.0,0.0,91.0,0.0,5.0
4.0,0.0,87.75,1.0,5.0
4.0,0.0,96.80000305175781,0.0,10.0
4.0,0.0,92.75,1.0,10.0
4.0,0.0,96.5,0.0,15.0
4.0,0.0,91.0,1.0,15.0
4.0,0.0,99.0,0.0,20.0
4.0,0.0,96.5,1.0,20.0
4.0,0.0,99.19999694824219,0.0,25.0
4.0,0.0,96.25,1.0,25.0
5.0,0.0,43.29999923706055,0.0,0.0
5.0,0.0,46.75,1.0,0.0
5.0,0.0,92.0999984741211,0.0,5.0
5.0,0.0,90.5,1.0,5.0
5.0,0.0,96.0,0.0,10.0
5.0,0.0,93.75,1.0,10.0
5.0,0.0,98.9000015258789,0.0,15.0
5.0,0.0,94.75,1.0,15.0
5.0,0.0,99.19999694824219,0.0,20.0
5.0,0.0,94.75,1.0,20.0
5.0,0.0,99.5999984741211,0.0,25.0
5.0,0.0,96.25,1.0,25.0
6.0,0.0,45.79999923706055,0.0,0.0
6.0,0.0,45.25,1.0,0.0
6.0,0.0,90.30000305175781,0.0,5.0
6.0,0.0,87.25,1.0,5.0
6.0,0.0,97.5,0.0,10.0
6.0,0.0,95.25,1.0,10.0
6.0,0.0,97.30000305175781,0.0,15.0
6.0,0.0,95.5,1.0,15.0
6.0,0.0,98.69999694824219,0.0,20.0
6.0,0.0,95.75,1.0,20.0
6.0,0.0,99.0,0.0,25.0
6.0,0.0,96.25,1.0,25.0
7.0,0.0,54.0,0.0,0.0
7.0,0.0,53.25,1.0,0.0
7.0,0.0,94.4000015258789,0.0,5.0
7.0,0.0,88.75,1.0,5.0
7.0,0.0,98.69999694824219,0.0,10.0
7.0,0.0,92.75,1.0,10.0
7.0,0.0,98.5999984741211,0.0,15.0
7.0,0.0,93.75,1.0,15.0
7.0,0.0,99.30000305175781,0.0,20.0
7.0,0.0,94.25,1.0,20.0
7.0,0.0,99.19999694824219,0.0,25.0
7.0,0.0,94.25,1.0,25.0
8.0,0.0,59.79999923706055,0.0,0.0
8.0,0.0,59.25,1.0,0.0
8.0,0.0,92.30000305175781,0.0,5.0
8.0,0.0,93.5,1.0,5.0
8.0,0.0,97.4000015258789,0.0,10.0
8.0,0.0,94.25,1.0,10.0
8.0,0.0,98.4000015258789,0.0,15.0
8.0,0.0,96.25,1.0,15.0
8.0,0.0,98.9000015258789,0.0,20.0
8.0,0.0,95.75,1.0,20.0
8.0,0.0,98.80000305175781,0.0,25.0
8.0,0.0,96.25,1.0,25.0
