,Architecture name
0,"oO_Net (1,4,False,[0.2, 0.8])"
1,"oO_Net (1,4,True,[0.2, 0.8])"
2,"oO_Net (2,4,True,[0.2, 0.8])"
3,"oO_Net (3,4,True,[0.2, 0.8])"
