architecture,time,run_id
0.0,14.497736930847168,0.0
0.0,14.614360809326172,1.0
0.0,15.10324478149414,2.0
0.0,16.23127555847168,3.0
0.0,16.983583450317383,4.0
0.0,17.8726863861084,5.0
0.0,15.872987747192383,6.0
0.0,15.747347831726074,7.0
0.0,16.53067398071289,8.0
0.0,16.55086898803711,9.0
0.0,17.579483032226562,10.0
0.0,17.288602828979492,11.0
0.0,15.987128257751465,12.0
0.0,17.420690536499023,13.0
0.0,17.42522621154785,14.0
1.0,14.454423904418945,0.0
1.0,14.403389930725098,1.0
1.0,13.705132484436035,2.0
1.0,13.583561897277832,3.0
1.0,15.211715698242188,4.0
1.0,14.752113342285156,5.0
1.0,14.567675590515137,6.0
1.0,14.99360466003418,7.0
1.0,14.089454650878906,8.0
1.0,15.263874053955078,9.0
1.0,15.329401016235352,10.0
1.0,14.904433250427246,11.0
1.0,14.64270305633545,12.0
1.0,15.083080291748047,13.0
1.0,13.882172584533691,14.0
2.0,14.290460586547852,0.0
2.0,15.87097454071045,1.0
2.0,17.508922576904297,2.0
2.0,15.449225425720215,3.0
2.0,14.496530532836914,4.0
2.0,14.337227821350098,5.0
2.0,14.317998886108398,6.0
2.0,13.614788055419922,7.0
2.0,16.158498764038086,8.0
2.0,14.263298034667969,9.0
2.0,13.727056503295898,10.0
2.0,14.00671100616455,11.0
2.0,13.919462203979492,12.0
2.0,15.751852989196777,13.0
2.0,17.490550994873047,14.0
3.0,15.647561073303223,0.0
3.0,18.386234283447266,1.0
3.0,17.053863525390625,2.0
3.0,14.6577787399292,3.0
3.0,15.095760345458984,4.0
3.0,14.556147575378418,5.0
3.0,13.91112232208252,6.0
3.0,15.593727111816406,7.0
3.0,15.011914253234863,8.0
3.0,14.651185989379883,9.0
3.0,17.390539169311523,10.0
3.0,14.40754508972168,11.0
3.0,13.85171127319336,12.0
3.0,13.70013427734375,13.0
3.0,14.231033325195312,14.0
