architecture,time,run_id
0.0,15.163981437683105,0.0
0.0,14.585099220275879,1.0
0.0,14.972028732299805,2.0
0.0,15.698296546936035,3.0
0.0,16.34636116027832,4.0
0.0,16.8515682220459,5.0
0.0,16.754104614257812,6.0
0.0,14.794184684753418,7.0
0.0,14.82437801361084,8.0
0.0,14.734594345092773,9.0
0.0,14.772665977478027,10.0
0.0,14.803019523620605,11.0
0.0,14.868799209594727,12.0
0.0,15.00296401977539,13.0
0.0,15.036513328552246,14.0
1.0,13.5809326171875,0.0
1.0,13.58574104309082,1.0
1.0,13.529932022094727,2.0
1.0,13.669099807739258,3.0
1.0,13.71823787689209,4.0
1.0,13.7039213180542,5.0
1.0,13.785305976867676,6.0
1.0,13.701967239379883,7.0
1.0,13.710561752319336,8.0
1.0,13.763261795043945,9.0
1.0,13.734641075134277,10.0
1.0,13.697600364685059,11.0
1.0,14.02181625366211,12.0
1.0,13.777132987976074,13.0
1.0,14.250126838684082,14.0
