architecture,time,run_id
0.0,14.843585014343262,0.0
0.0,15.285224914550781,1.0
0.0,17.01128578186035,2.0
0.0,17.07746696472168,3.0
0.0,17.011329650878906,4.0
0.0,18.471834182739258,5.0
0.0,18.660404205322266,6.0
0.0,19.176067352294922,7.0
0.0,17.26995849609375,8.0
0.0,17.231725692749023,9.0
0.0,17.167457580566406,10.0
0.0,17.288433074951172,11.0
0.0,17.277545928955078,12.0
0.0,17.53284454345703,13.0
0.0,17.30200958251953,14.0
1.0,15.328977584838867,0.0
1.0,15.292281150817871,1.0
1.0,15.29931354522705,2.0
1.0,15.385600090026855,3.0
1.0,15.270197868347168,4.0
1.0,15.452534675598145,5.0
1.0,15.257315635681152,6.0
1.0,15.288179397583008,7.0
1.0,15.341588020324707,8.0
1.0,15.310613632202148,9.0
1.0,15.40522575378418,10.0
1.0,15.445178985595703,11.0
1.0,15.513655662536621,12.0
1.0,15.426010131835938,13.0
1.0,15.370818138122559,14.0
