architecture,time,run_id
0.0,14.585268020629883,0.0
0.0,14.851192474365234,1.0
0.0,14.978798866271973,2.0
0.0,18.023147583007812,3.0
0.0,17.30467414855957,4.0
0.0,16.35253143310547,5.0
0.0,16.33089256286621,6.0
0.0,16.39657211303711,7.0
0.0,16.845256805419922,8.0
0.0,16.772245407104492,9.0
0.0,16.942550659179688,10.0
0.0,17.035207748413086,11.0
0.0,16.961801528930664,12.0
0.0,17.057064056396484,13.0
0.0,16.974613189697266,14.0
1.0,17.100141525268555,0.0
1.0,17.061492919921875,1.0
1.0,17.15130043029785,2.0
1.0,16.572439193725586,3.0
1.0,16.00764274597168,4.0
1.0,17.536069869995117,5.0
1.0,17.22195816040039,6.0
1.0,17.249059677124023,7.0
1.0,17.38958740234375,8.0
1.0,18.175561904907227,9.0
1.0,16.911884307861328,10.0
1.0,17.226470947265625,11.0
1.0,17.130970001220703,12.0
1.0,16.337352752685547,13.0
1.0,15.771827697753906,14.0
2.0,15.758326530456543,0.0
2.0,15.843918800354004,1.0
2.0,15.842888832092285,2.0
2.0,17.416614532470703,3.0
2.0,18.84505844116211,4.0
2.0,17.46211814880371,5.0
2.0,17.541589736938477,6.0
2.0,17.500465393066406,7.0
2.0,17.46188735961914,8.0
2.0,17.576597213745117,9.0
2.0,17.615053176879883,10.0
2.0,16.905101776123047,11.0
2.0,17.103988647460938,12.0
2.0,17.19305419921875,13.0
2.0,17.232872009277344,14.0
3.0,17.237993240356445,0.0
3.0,17.39221954345703,1.0
3.0,17.65474510192871,2.0
3.0,17.788724899291992,3.0
3.0,17.783823013305664,4.0
3.0,17.812368392944336,5.0
3.0,16.62871742248535,6.0
3.0,18.111000061035156,7.0
3.0,17.93077278137207,8.0
3.0,17.965850830078125,9.0
3.0,16.847501754760742,10.0
3.0,17.02422523498535,11.0
3.0,17.809940338134766,12.0
3.0,17.85297203063965,13.0
3.0,18.077688217163086,14.0
4.0,16.959962844848633,0.0
4.0,16.351409912109375,1.0
4.0,16.36240577697754,2.0
4.0,16.428878784179688,3.0
4.0,16.51698112487793,4.0
4.0,16.541122436523438,5.0
4.0,16.33582878112793,6.0
4.0,16.275102615356445,7.0
4.0,16.90066146850586,8.0
4.0,17.377845764160156,9.0
4.0,17.74333953857422,10.0
4.0,17.447412490844727,11.0
4.0,17.50438117980957,12.0
4.0,16.48638916015625,13.0
4.0,16.0524845123291,14.0
5.0,16.384218215942383,0.0
5.0,16.096033096313477,1.0
5.0,16.590761184692383,2.0
5.0,16.6470890045166,3.0
5.0,16.545656204223633,4.0
5.0,16.445592880249023,5.0
5.0,16.455184936523438,6.0
5.0,16.476552963256836,7.0
5.0,16.32958221435547,8.0
5.0,16.286436080932617,9.0
5.0,16.280736923217773,10.0
5.0,16.612226486206055,11.0
5.0,18.12786865234375,12.0
5.0,17.887130737304688,13.0
5.0,17.92482566833496,14.0
6.0,17.77585792541504,0.0
6.0,18.043258666992188,1.0
6.0,17.9462947845459,2.0
6.0,16.944547653198242,3.0
6.0,17.236751556396484,4.0
6.0,17.26004981994629,5.0
6.0,17.188695907592773,6.0
6.0,17.26544952392578,7.0
6.0,17.32122039794922,8.0
6.0,17.315670013427734,9.0
6.0,17.464479446411133,10.0
6.0,17.56747055053711,11.0
6.0,17.606760025024414,12.0
6.0,17.532438278198242,13.0
6.0,17.780811309814453,14.0
