architecture,time,run_id
0.0,32.05696487426758,0.0
0.0,35.294288635253906,1.0
0.0,33.837589263916016,2.0
0.0,30.316953659057617,3.0
0.0,30.509777069091797,4.0
0.0,30.437808990478516,5.0
0.0,30.673484802246094,6.0
0.0,30.54227638244629,7.0
0.0,30.99701690673828,8.0
0.0,30.877737045288086,9.0
1.0,48.42850875854492,0.0
1.0,48.228553771972656,1.0
1.0,48.19465255737305,2.0
1.0,48.00042724609375,3.0
1.0,48.84218215942383,4.0
1.0,48.58564758300781,5.0
1.0,48.90843200683594,6.0
1.0,47.1254768371582,7.0
1.0,46.591739654541016,8.0
1.0,46.492061614990234,9.0
2.0,63.027069091796875,0.0
2.0,63.2433967590332,1.0
2.0,63.80712127685547,2.0
2.0,63.58180236816406,3.0
2.0,62.48031997680664,4.0
2.0,62.3894157409668,5.0
2.0,62.81678771972656,6.0
2.0,62.9194221496582,7.0
2.0,62.955108642578125,8.0
2.0,62.28960418701172,9.0
3.0,79.81253051757812,0.0
3.0,79.50550079345703,1.0
3.0,79.39810180664062,2.0
3.0,79.8600845336914,3.0
3.0,79.60725402832031,4.0
3.0,79.81387329101562,5.0
3.0,79.94664001464844,6.0
3.0,80.62548065185547,7.0
3.0,80.47550201416016,8.0
3.0,80.94332122802734,9.0
