# Architecture,Mean test,Std test,Mean train,Std train
0.000000000000000000e+00,9.178000030517577557e+01,1.154814052395665147e+00,9.457999877929687216e+01,1.763406577846214462e+00
1.000000000000000000e+00,7.967999877929688068e+01,4.359542857711996788e+00,8.054000091552734375e+01,5.081574119525265942e+00
2.000000000000000000e+00,8.051999969482422159e+01,6.675342428205399692e-01,8.687999877929686932e+01,2.442457093845581628e+00
