# Architecture index,Mean test,Std test,Mean train,Std train
0.000000000000000000e+00,9.290000152587890625e+01,1.005982683583948489e+00,9.488000030517578409e+01,9.346661139856329292e-01
1.000000000000000000e+00,6.250000000000000000e+01,5.289990998172219960e+00,6.844000015258788494e+01,7.356250263016725910e+00
2.000000000000000000e+00,7.857999877929687216e+01,1.571496203426864025e+00,8.661999969482421591e+01,3.269495693131513114e+00
